company_name,ticker,profile,industry,addressl1,addressl2,country,phone,website
Aeroports de Paris SA,ADP.PA,"Aeroports de Paris SA is a France-based company active in the airport management industry. Through its subsidiaries, it operates five segments: Aviation, Retail and Services, Real Estate, International and Airport Developments and Other Activities. The Aviation segment provides airport operations-related goods and services, such as security checkpoints, screening systems, aircraft rescue and firefighting services, among others. The Retail and Services segment covers the retail activities provided to the general public, including rental of retails shops, bars and restaurants, banks and car rentals, among others. The Real Estate segment includes all the Company’s property leasing services except for operating leases within airport terminals. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment comprises telecoms and security services, among others.",Misc. Transportation,1 Rue de France,93290,France,+33.1.74256700,https://www.parisaeroport.fr/
Aeroports de Paris SA,ADP.PA1,"Aeroports de Paris SA is a France-based company active in the airport management industry. Through its subsidiaries, it operates five segments: Aviation, Retail and Services, Real Estate, International and Airport Developments and Other Activities. The Aviation segment provides airport operations-related goods and services, such as security checkpoints, screening systems, aircraft rescue and firefighting services, among others. The Retail and Services segment covers the retail activities provided to the general public, including rental of retails shops, bars and restaurants, banks and car rentals, among others. The Real Estate segment includes all the Company’s property leasing services except for operating leases within airport terminals. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment comprises telecoms and security services, among others.",Misc. Transportation,1 Rue de France,93290,France,+33.1.74256700,https://www.parisaeroport.fr/
Aeroports de Paris SA,ADPF.BE,"Aeroports de Paris SA is a France-based company active in the airport management industry. Through its subsidiaries, it operates five segments: Aviation, Retail and Services, Real Estate, International and Airport Developments and Other Activities. The Aviation segment provides airport operations-related goods and services, such as security checkpoints, screening systems, aircraft rescue and firefighting services, among others. The Retail and Services segment covers the retail activities provided to the general public, including rental of retails shops, bars and restaurants, banks and car rentals, among others. The Real Estate segment includes all the Company’s property leasing services except for operating leases within airport terminals. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment comprises telecoms and security services, among others.",Misc. Transportation,1 Rue de France,93290,France,+33.1.74256700,https://www.parisaeroport.fr/
Aeroports de Paris SA,ADPF.D,"Aeroports de Paris SA is a France-based company active in the airport management industry. Through its subsidiaries, it operates five segments: Aviation, Retail and Services, Real Estate, International and Airport Developments and Other Activities. The Aviation segment provides airport operations-related goods and services, such as security checkpoints, screening systems, aircraft rescue and firefighting services, among others. The Retail and Services segment covers the retail activities provided to the general public, including rental of retails shops, bars and restaurants, banks and car rentals, among others. The Real Estate segment includes all the Company’s property leasing services except for operating leases within airport terminals. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment comprises telecoms and security services, among others.",Misc. Transportation,1 Rue de France,93290,France,+33.1.74256700,https://www.parisaeroport.fr/
Aeroports de Paris SA,ADPF.F,"Aeroports de Paris SA is a France-based company active in the airport management industry. Through its subsidiaries, it operates five segments: Aviation, Retail and Services, Real Estate, International and Airport Developments and Other Activities. The Aviation segment provides airport operations-related goods and services, such as security checkpoints, screening systems, aircraft rescue and firefighting services, among others. The Retail and Services segment covers the retail activities provided to the general public, including rental of retails shops, bars and restaurants, banks and car rentals, among others. The Real Estate segment includes all the Company’s property leasing services except for operating leases within airport terminals. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment comprises telecoms and security services, among others.",Misc. Transportation,1 Rue de France,93290,France,+33.1.74256700,https://www.parisaeroport.fr/
Aeroports de Paris SA,AEOXF.PK,"Aeroports de Paris SA is a France-based company active in the airport management industry. Through its subsidiaries, it operates five segments: Aviation, Retail and Services, Real Estate, International and Airport Developments and Other Activities. The Aviation segment provides airport operations-related goods and services, such as security checkpoints, screening systems, aircraft rescue and firefighting services, among others. The Retail and Services segment covers the retail activities provided to the general public, including rental of retails shops, bars and restaurants, banks and car rentals, among others. The Real Estate segment includes all the Company’s property leasing services except for operating leases within airport terminals. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment comprises telecoms and security services, among others.",Misc. Transportation,1 Rue de France,93290,France,+33.1.74256700,https://www.parisaeroport.fr/
Flughafen Zuerich AG,FHZN.S,"Flughafen Zuerich AG is a Switzerland-based company that is engaged in the operation of Zurich Airport in Switzerland on behalf of the federal government. The Company offers access to international, national and regional transport networks. The Company operates in four segments: the Aviation flight operations segment encompasses the construction, operation and maintenance of the airport operating infrastructure; the Aviation security segment covers the installation, operation and maintenance of security infrastructure and all processes of direct relevance to security, which includes all systems and their operation and maintenance designed to prevent actions of any kind that affect the security of commercial civil aviation; the Non-aviation segment encompasses all activities relating to the development, marketing and operation of the commercial infrastructure at Zurich Airport, and the Aviation aircraft noise segment.",Misc. Transportation,"Flughafen, Kloten",8058,Switzerland,+41.43.8162211,https://www.flughafen-zuerich.ch/
Flughafen Zuerich AG,FLGZY.PK,"Flughafen Zuerich AG is a Switzerland-based company that is engaged in the operation of Zurich Airport in Switzerland on behalf of the federal government. The Company offers access to international, national and regional transport networks. The Company operates in four segments: the Aviation flight operations segment encompasses the construction, operation and maintenance of the airport operating infrastructure; the Aviation security segment covers the installation, operation and maintenance of security infrastructure and all processes of direct relevance to security, which includes all systems and their operation and maintenance designed to prevent actions of any kind that affect the security of commercial civil aviation; the Non-aviation segment encompasses all activities relating to the development, marketing and operation of the commercial infrastructure at Zurich Airport, and the Aviation aircraft noise segment.",Misc. Transportation,"Flughafen, Kloten",8058,Switzerland,+41.43.8162211,https://www.flughafen-zuerich.ch/
Flughafen Zuerich AG,UZAA.F,"Flughafen Zuerich AG is a Switzerland-based company that is engaged in the operation of Zurich Airport in Switzerland on behalf of the federal government. The Company offers access to international, national and regional transport networks. The Company operates in four segments: the Aviation flight operations segment encompasses the construction, operation and maintenance of the airport operating infrastructure; the Aviation security segment covers the installation, operation and maintenance of security infrastructure and all processes of direct relevance to security, which includes all systems and their operation and maintenance designed to prevent actions of any kind that affect the security of commercial civil aviation; the Non-aviation segment encompasses all activities relating to the development, marketing and operation of the commercial infrastructure at Zurich Airport, and the Aviation aircraft noise segment.",Misc. Transportation,"Flughafen, Kloten",8058,Switzerland,+41.43.8162211,https://www.flughafen-zuerich.ch/
Flughafen Zuerich AG,UZAPF.PK,"Flughafen Zuerich AG is a Switzerland-based company that is engaged in the operation of Zurich Airport in Switzerland on behalf of the federal government. The Company offers access to international, national and regional transport networks. The Company operates in four segments: the Aviation flight operations segment encompasses the construction, operation and maintenance of the airport operating infrastructure; the Aviation security segment covers the installation, operation and maintenance of security infrastructure and all processes of direct relevance to security, which includes all systems and their operation and maintenance designed to prevent actions of any kind that affect the security of commercial civil aviation; the Non-aviation segment encompasses all activities relating to the development, marketing and operation of the commercial infrastructure at Zurich Airport, and the Aviation aircraft noise segment.",Misc. Transportation,"Flughafen, Kloten",8058,Switzerland,+41.43.8162211,https://www.flughafen-zuerich.ch/
