Airport,Category,date,amount,company_name
Flughafen Wien (VIE),Passagiere,01.01.2021,198295.0,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.01.2021,148310.0,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.01.2021,47366.0,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.01.2021,3733.0,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.01.2021,19734820.17,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.01.2021,38938.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.01.2021,38784.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.01.2021,154.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.01.2021,621.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2021,1075380.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.01.2021,2885.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.01.2021,2885.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.01.2021,0.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.01.2021,38.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2021,0.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.01.2021,240118.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.01.2021,189979.0,Flughafen Wien AG
