date,Departures,Arrivals,company_name,flights
2021-08-03,210,207,Flughafen Zürich AG,417
2021-08-04,221,218,Flughafen Zürich AG,439
2021-08-05,248,253,Flughafen Zürich AG,501
2021-08-06,277,283,Flughafen Zürich AG,560
2021-08-07,276,282,Flughafen Zürich AG,558
2021-08-08,302,295,Flughafen Zürich AG,597
2021-08-09,250,250,Flughafen Zürich AG,500
2021-08-10,206,192,Flughafen Zürich AG,398
2021-08-12,242,242,Flughafen Zürich AG,484
2021-08-13,281,280,Flughafen Zürich AG,561
2021-08-14,277,275,Flughafen Zürich AG,552
2021-08-15,310,303,Flughafen Zürich AG,613
2021-08-16,250,262,Flughafen Zürich AG,512
2021-08-17,199,190,Flughafen Zürich AG,389
2021-08-18,204,211,Flughafen Zürich AG,415
2021-08-19,238,245,Flughafen Zürich AG,483
2021-08-20,272,271,Flughafen Zürich AG,543
2021-08-22,304,289,Flughafen Zürich AG,593
2021-08-23,250,261,Flughafen Zürich AG,511
2021-08-24,198,179,Flughafen Zürich AG,377
2021-08-25,204,216,Flughafen Zürich AG,420
2021-08-26,239,245,Flughafen Zürich AG,484
2021-08-27,265,272,Flughafen Zürich AG,537
2021-08-28,263,259,Flughafen Zürich AG,522
2021-08-29,275,274,Flughafen Zürich AG,549
2021-08-30,248,240,Flughafen Zürich AG,488
2021-07-02,255,250,Flughafen Zürich AG,505
2021-07-03,246,243,Flughafen Zürich AG,489
2021-07-04,254,251,Flughafen Zürich AG,505
2021-07-05,222,224,Flughafen Zürich AG,446
2021-07-06,175,162,Flughafen Zürich AG,337
2021-07-07,175,178,Flughafen Zürich AG,353
2021-07-08,202,216,Flughafen Zürich AG,418
2021-07-09,251,251,Flughafen Zürich AG,502
2021-07-10,245,253,Flughafen Zürich AG,498
2021-07-12,228,227,Flughafen Zürich AG,455
2021-07-13,175,167,Flughafen Zürich AG,342
2021-07-14,185,198,Flughafen Zürich AG,383
2021-07-15,215,223,Flughafen Zürich AG,438
2021-07-16,271,265,Flughafen Zürich AG,536
2021-07-17,272,275,Flughafen Zürich AG,547
