date,Departures,Arrivals,company_name,flights
01.08.21,297,283,Flughafen Zürich AG,297283
02.08.21,251,261,Flughafen Zürich AG,251261
03.08.21,210,207,Flughafen Zürich AG,210207
04.08.21,221,218,Flughafen Zürich AG,221218
05.08.21,248,253,Flughafen Zürich AG,248253
06.08.21,277,283,Flughafen Zürich AG,277283
07.08.21,276,282,Flughafen Zürich AG,276282
08.08.21,302,295,Flughafen Zürich AG,302295
09.08.21,250,250,Flughafen Zürich AG,250250
10.08.21,206,192,Flughafen Zürich AG,206192
11.08.21,205,213,Flughafen Zürich AG,205213
12.08.21,242,242,Flughafen Zürich AG,242242
13.08.21,281,280,Flughafen Zürich AG,281280
14.08.21,277,275,Flughafen Zürich AG,277275
15.08.21,310,303,Flughafen Zürich AG,310303
16.08.21,250,262,Flughafen Zürich AG,250262
17.08.21,199,190,Flughafen Zürich AG,199190
18.08.21,204,211,Flughafen Zürich AG,204211
19.08.21,238,245,Flughafen Zürich AG,238245
20.08.21,272,271,Flughafen Zürich AG,272271
21.08.21,274,272,Flughafen Zürich AG,274272
22.08.21,304,289,Flughafen Zürich AG,304289
23.08.21,250,261,Flughafen Zürich AG,250261
24.08.21,198,179,Flughafen Zürich AG,198179
25.08.21,204,216,Flughafen Zürich AG,204216
26.08.21,239,245,Flughafen Zürich AG,239245
27.08.21,265,272,Flughafen Zürich AG,265272
28.08.21,263,259,Flughafen Zürich AG,263259
29.08.21,275,274,Flughafen Zürich AG,275274
30.08.21,248,240,Flughafen Zürich AG,248240
31.08.21,210,202,Flughafen Zürich AG,210202
01.07.21,205,225,Flughafen Zürich AG,205225
02.07.21,255,250,Flughafen Zürich AG,255250
03.07.21,246,243,Flughafen Zürich AG,246243
04.07.21,254,251,Flughafen Zürich AG,254251
05.07.21,222,224,Flughafen Zürich AG,222224
06.07.21,175,162,Flughafen Zürich AG,175162
07.07.21,175,178,Flughafen Zürich AG,175178
08.07.21,202,216,Flughafen Zürich AG,202216
09.07.21,251,251,Flughafen Zürich AG,251251
10.07.21,245,253,Flughafen Zürich AG,245253
11.07.21,278,268,Flughafen Zürich AG,278268
12.07.21,228,227,Flughafen Zürich AG,228227
13.07.21,175,167,Flughafen Zürich AG,175167
14.07.21,185,198,Flughafen Zürich AG,185198
15.07.21,215,223,Flughafen Zürich AG,215223
16.07.21,271,265,Flughafen Zürich AG,271265
17.07.21,272,275,Flughafen Zürich AG,272275
18.07.21,266,259,Flughafen Zürich AG,266259
19.07.21,238,238,Flughafen Zürich AG,238238
20.07.21,209,197,Flughafen Zürich AG,209197
21.07.21,216,221,Flughafen Zürich AG,216221
22.07.21,244,256,Flughafen Zürich AG,244256
23.07.21,280,284,Flughafen Zürich AG,280284
24.07.21,268,271,Flughafen Zürich AG,268271
25.07.21,286,278,Flughafen Zürich AG,286278
26.07.21,246,249,Flughafen Zürich AG,246249
27.07.21,203,200,Flughafen Zürich AG,203200
28.07.21,194,199,Flughafen Zürich AG,194199
29.07.21,242,247,Flughafen Zürich AG,242247
30.07.21,287,288,Flughafen Zürich AG,287288
31.07.21,272,280,Flughafen Zürich AG,272280
01.06.21,111,107,Flughafen Zürich AG,111107
02.06.21,122,116,Flughafen Zürich AG,122116
03.06.21,134,149,Flughafen Zürich AG,134149
04.06.21,164,167,Flughafen Zürich AG,164167
