Piste 10,Piste 16,Piste 28,Piste 32,Piste 34,Total,company_name
0,18,154,100,11,283,Flughafen Zürich AG
0,22,198,38,3,261,Flughafen Zürich AG
0,12,116,68,11,207,Flughafen Zürich AG
0,22,171,17,8,218,Flughafen Zürich AG
0,18,211,18,6,253,Flughafen Zürich AG
0,9,171,87,16,283,Flughafen Zürich AG
0,20,174,75,13,282,Flughafen Zürich AG
0,16,172,96,11,295,Flughafen Zürich AG
0,15,215,12,8,250,Flughafen Zürich AG
0,16,161,9,6,192,Flughafen Zürich AG
0,15,176,11,11,213,Flughafen Zürich AG
0,21,197,17,7,242,Flughafen Zürich AG
0,18,234,14,14,280,Flughafen Zürich AG
0,22,197,46,10,275,Flughafen Zürich AG
0,30,202,59,12,303,Flughafen Zürich AG
0,0,40,211,11,262,Flughafen Zürich AG
0,32,112,41,5,190,Flughafen Zürich AG
0,7,108,93,3,211,Flughafen Zürich AG
0,16,208,15,6,245,Flughafen Zürich AG
0,18,226,20,7,271,Flughafen Zürich AG
0,23,177,52,20,272,Flughafen Zürich AG
0,5,139,132,13,289,Flughafen Zürich AG
0,16,224,14,7,261,Flughafen Zürich AG
143,14,8,8,6,179,Flughafen Zürich AG
0,16,181,14,5,216,Flughafen Zürich AG
0,2,90,145,8,245,Flughafen Zürich AG
0,24,218,24,6,272,Flughafen Zürich AG
0,25,171,58,5,259,Flughafen Zürich AG
0,17,112,136,9,274,Flughafen Zürich AG
0,17,203,16,4,240,Flughafen Zürich AG
0,23,169,8,2,202,Flughafen Zürich AG
0,1,102,115,7,225,Flughafen Zürich AG
0,17,211,14,8,250,Flughafen Zürich AG
0,24,169,47,3,243,Flughafen Zürich AG
0,11,137,90,13,251,Flughafen Zürich AG
0,16,186,17,5,224,Flughafen Zürich AG
0,3,78,69,12,162,Flughafen Zürich AG
0,8,152,14,4,178,Flughafen Zürich AG
0,19,178,16,3,216,Flughafen Zürich AG
0,16,213,13,9,251,Flughafen Zürich AG
0,33,153,63,4,253,Flughafen Zürich AG
0,20,173,47,28,268,Flughafen Zürich AG
0,20,186,14,7,227,Flughafen Zürich AG
0,12,137,4,14,167,Flughafen Zürich AG
0,10,160,26,2,198,Flughafen Zürich AG
0,13,126,83,1,223,Flughafen Zürich AG
0,27,211,17,10,265,Flughafen Zürich AG
0,32,172,64,7,275,Flughafen Zürich AG
140,21,32,58,8,259,Flughafen Zürich AG
111,22,83,18,4,238,Flughafen Zürich AG
0,21,160,11,5,197,Flughafen Zürich AG
0,18,178,17,8,221,Flughafen Zürich AG
0,21,213,19,3,256,Flughafen Zürich AG
0,29,231,20,4,284,Flughafen Zürich AG
0,46,155,66,4,271,Flughafen Zürich AG
0,25,181,61,11,278,Flughafen Zürich AG
0,27,185,29,8,249,Flughafen Zürich AG
0,17,168,10,5,200,Flughafen Zürich AG
0,17,160,15,7,199,Flughafen Zürich AG
0,21,206,16,4,247,Flughafen Zürich AG
0,22,236,17,13,288,Flughafen Zürich AG
0,10,94,170,6,280,Flughafen Zürich AG
0,3,92,2,10,107,Flughafen Zürich AG
0,3,104,4,5,116,Flughafen Zürich AG
0,6,103,29,11,149,Flughafen Zürich AG
0,3,142,8,14,167,Flughafen Zürich AG
0,5,102,35,17,159,Flughafen Zürich AG
0,9,139,17,17,182,Flughafen Zürich AG
0,4,125,5,8,142,Flughafen Zürich AG
0,2,101,4,10,117,Flughafen Zürich AG
0,2,100,4,8,114,Flughafen Zürich AG
0,10,145,6,6,167,Flughafen Zürich AG
0,12,158,9,6,185,Flughafen Zürich AG
0,11,70,59,17,157,Flughafen Zürich AG
0,15,133,23,10,181,Flughafen Zürich AG
0,5,127,5,8,145,Flughafen Zürich AG
0,2,95,2,9,108,Flughafen Zürich AG
0,5,106,6,4,121,Flughafen Zürich AG
0,8,152,7,4,171,Flughafen Zürich AG
0,14,165,23,1,203,Flughafen Zürich AG
33,24,77,43,7,184,Flughafen Zürich AG
15,14,91,69,11,200,Flughafen Zürich AG
0,9,139,10,5,163,Flughafen Zürich AG
0,3,101,5,9,118,Flughafen Zürich AG
0,3,104,8,5,120,Flughafen Zürich AG
0,10,125,46,7,188,Flughafen Zürich AG
0,10,200,9,6,225,Flughafen Zürich AG
0,23,118,43,2,186,Flughafen Zürich AG
0,13,152,28,6,199,Flughafen Zürich AG
0,12,119,33,3,167,Flughafen Zürich AG
0,4,91,18,8,121,Flughafen Zürich AG
